date,split,exercise_id,exercise,set,reps,weight_lb,muscle,role
2026-08-13,push,ex32,Incline Dumbbell Bench Press,1,10,60,Pectoralis,primary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,1,10,60,Triceps,secondary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,1,10,60,Deltoids,secondary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,2,10,60,Pectoralis,primary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,2,10,60,Triceps,secondary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,2,10,60,Deltoids,secondary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,3,7,60,Pectoralis,primary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,3,7,60,Triceps,secondary
2026-08-13,push,ex32,Incline Dumbbell Bench Press,3,7,60,Deltoids,secondary
2026-08-13,push,ex03,Push-up,1,12,,Pectoralis,primary
2026-08-13,push,ex03,Push-up,1,12,,Triceps,primary
2026-08-13,push,ex03,Push-up,1,12,,Deltoids,secondary
2026-08-13,push,ex03,Push-up,1,12,,Core,secondary
2026-08-13,push,ex03,Push-up,2,12,,Pectoralis,primary
2026-08-13,push,ex03,Push-up,2,12,,Triceps,primary
2026-08-13,push,ex03,Push-up,2,12,,Deltoids,secondary
2026-08-13,push,ex03,Push-up,2,12,,Core,secondary
2026-08-13,push,ex03,Push-up,3,12,,Pectoralis,primary
2026-08-13,push,ex03,Push-up,3,12,,Triceps,primary
2026-08-13,push,ex03,Push-up,3,12,,Deltoids,secondary
2026-08-13,push,ex03,Push-up,3,12,,Core,secondary
2026-08-13,push,ex33,Dips,1,8,,Pectoralis,primary
2026-08-13,push,ex33,Dips,1,8,,Triceps,primary
2026-08-13,push,ex33,Dips,1,8,,Deltoids,secondary
2026-08-13,push,ex33,Dips,2,10,,Pectoralis,primary
2026-08-13,push,ex33,Dips,2,10,,Triceps,primary
2026-08-13,push,ex33,Dips,2,10,,Deltoids,secondary
2026-08-13,push,ex33,Dips,3,8,,Pectoralis,primary
2026-08-13,push,ex33,Dips,3,8,,Triceps,primary
2026-08-13,push,ex33,Dips,3,8,,Deltoids,secondary
2026-08-13,push,ex05,Single-Arm Shoulder Press,1,12,20,Deltoids,primary
2026-08-13,push,ex05,Single-Arm Shoulder Press,1,12,20,Triceps,secondary
2026-08-13,push,ex05,Single-Arm Shoulder Press,2,11,20,Deltoids,primary
2026-08-13,push,ex05,Single-Arm Shoulder Press,2,11,20,Triceps,secondary
2026-08-13,push,ex05,Single-Arm Shoulder Press,3,8,20,Deltoids,primary
2026-08-13,push,ex05,Single-Arm Shoulder Press,3,8,20,Triceps,secondary
2026-08-13,push,ex40,TRX Tricep Extension,1,9,,Triceps,primary
2026-08-13,push,ex40,TRX Tricep Extension,1,9,,Core,secondary
2026-08-13,push,ex40,TRX Tricep Extension,2,12,,Triceps,primary
2026-08-13,push,ex40,TRX Tricep Extension,2,12,,Core,secondary
2026-08-13,push,ex40,TRX Tricep Extension,3,12,,Triceps,primary
2026-08-13,push,ex40,TRX Tricep Extension,3,12,,Core,secondary
2026-08-10,pull,ex20,Chin-Up,1,9,,Lats,primary
2026-08-10,pull,ex20,Chin-Up,1,9,,Biceps,secondary
2026-08-10,pull,ex20,Chin-Up,2,7,,Lats,primary
2026-08-10,pull,ex20,Chin-Up,2,7,,Biceps,secondary
2026-08-10,pull,ex20,Chin-Up,3,7,,Lats,primary
2026-08-10,pull,ex20,Chin-Up,3,7,,Biceps,secondary
2026-08-10,pull,ex21,Face Pull,1,17,,Deltoids,primary
2026-08-10,pull,ex21,Face Pull,1,17,,Rhomboids,primary
2026-08-10,pull,ex21,Face Pull,1,17,,Trapezius,secondary
2026-08-10,pull,ex21,Face Pull,2,19,,Deltoids,primary
2026-08-10,pull,ex21,Face Pull,2,19,,Rhomboids,primary
2026-08-10,pull,ex21,Face Pull,2,19,,Trapezius,secondary
2026-08-10,pull,ex21,Face Pull,3,14,,Deltoids,primary
2026-08-10,pull,ex21,Face Pull,3,14,,Rhomboids,primary
2026-08-10,pull,ex21,Face Pull,3,14,,Trapezius,secondary
2026-08-10,pull,ex-yfly,TRX Y-Fly,1,11,,Deltoids,primary
2026-08-10,pull,ex-yfly,TRX Y-Fly,1,11,,Trapezius,primary
2026-08-10,pull,ex-yfly,TRX Y-Fly,1,11,,Rhomboids,secondary
2026-08-10,pull,ex-yfly,TRX Y-Fly,2,10,,Deltoids,primary
2026-08-10,pull,ex-yfly,TRX Y-Fly,2,10,,Trapezius,primary
2026-08-10,pull,ex-yfly,TRX Y-Fly,2,10,,Rhomboids,secondary
2026-08-10,pull,ex-yfly,TRX Y-Fly,3,9,,Deltoids,primary
2026-08-10,pull,ex-yfly,TRX Y-Fly,3,9,,Trapezius,primary
2026-08-10,pull,ex-yfly,TRX Y-Fly,3,9,,Rhomboids,secondary
2026-08-10,pull,ex18,Dumbbell Upright Row,1,10,40,Deltoids,primary
2026-08-10,pull,ex18,Dumbbell Upright Row,1,10,40,Trapezius,primary
2026-08-10,pull,ex18,Dumbbell Upright Row,1,10,40,Biceps,secondary
2026-08-10,pull,ex18,Dumbbell Upright Row,2,8,40,Deltoids,primary
2026-08-10,pull,ex18,Dumbbell Upright Row,2,8,40,Trapezius,primary
2026-08-10,pull,ex18,Dumbbell Upright Row,2,8,40,Biceps,secondary
2026-08-10,pull,ex18,Dumbbell Upright Row,3,7,40,Deltoids,primary
2026-08-10,pull,ex18,Dumbbell Upright Row,3,7,40,Trapezius,primary
2026-08-10,pull,ex18,Dumbbell Upright Row,3,7,40,Biceps,secondary
2026-08-10,pull,ex-altcurl,Alternating Dumbbell Curl,1,10,40,Biceps,primary
2026-08-10,pull,ex-altcurl,Alternating Dumbbell Curl,1,10,40,Forearms,secondary
2026-08-10,pull,ex-altcurl,Alternating Dumbbell Curl,2,9,40,Biceps,primary
